INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-11-01T12:00:00-00:00,2018-11-01T13:00:00-00:00,0,2018-11-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2615,ACTUAL,1
2018-11-01T13:00:00-00:00,2018-11-01T14:00:00-00:00,0,2018-11-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2859,ACTUAL,1
2018-11-01T20:00:00-00:00,2018-11-01T21:00:00-00:00,0,2018-11-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2556,ACTUAL,1
2018-11-01T21:00:00-00:00,2018-11-01T22:00:00-00:00,0,2018-11-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2640,ACTUAL,1
2018-11-01T15:00:00-00:00,2018-11-01T16:00:00-00:00,0,2018-11-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2684,ACTUAL,1
2018-11-01T14:00:00-00:00,2018-11-01T15:00:00-00:00,0,2018-11-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2891,ACTUAL,1
2018-11-01T17:00:00-00:00,2018-11-01T18:00:00-00:00,0,2018-11-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2518,ACTUAL,1
2018-11-02T00:00:00-00:00,2018-11-02T01:00:00-00:00,0,2018-11-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3037,ACTUAL,1
2018-11-02T02:00:00-00:00,2018-11-02T03:00:00-00:00,0,2018-11-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3131,ACTUAL,1
2018-11-02T03:00:00-00:00,2018-11-02T04:00:00-00:00,0,2018-11-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3074,ACTUAL,1
2018-11-01T09:00:00-00:00,2018-11-01T10:00:00-00:00,0,2018-11-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2356,ACTUAL,1
2018-11-01T22:00:00-00:00,2018-11-01T23:00:00-00:00,0,2018-11-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2758,ACTUAL,1
2018-11-02T04:00:00-00:00,2018-11-02T05:00:00-00:00,0,2018-11-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2921,ACTUAL,1
